lcbm,sxxbm,ysfsbm,lcdm,cc,sfzt,lcyn
574,NULL,1,1266,1266,1,#N/A
575,NULL,1,1486,1486,1,1346
594,NULL,1,1646,1646,1,#N/A
572,NULL,1,1718,1718,1,1520
665,NULL,1,1914,1914,1,#N/A
22,NULL,1,3021,3021,1,2582
3,NULL,1,3022,3022,1,2596
534,NULL,1,3056,3056,1,3360
686,NULL,1,3126,3126,1,3200
51,NULL,1,3147,3147,2,1658
52,NULL,1,3148,3148,2,3152
279,NULL,1,3195,3195,1,#N/A
280,NULL,1,3196,3196,1,3112
476,NULL,1,3218,3218,1,2744
595,NULL,1,3236,3236,1,2492
591,NULL,1,3248,3248,1,2580
501,NULL,1,3255,3255,1,1942
687,NULL,1,3258,3258,1,3035
361,NULL,1,3277,3277,1,1788
362,NULL,1,3278,3278,1,1692
502,NULL,1,3305,3305,1,1487
128,NULL,1,3307,3307,1,#N/A
576,NULL,1,3308,3308,1,3317
734,NULL,1,3311,3311,1,1320
522,NULL,1,3338,3338,1,3157
87,NULL,1,3349,3349,2,1251
88,NULL,1,3350,3350,2,2254
471,NULL,1,3352,3352,1,1260
661,NULL,1,3405,3405,1,2294
605,NULL,1,3434,3434,1,2734
457,NULL,1,3496,3496,1,2740
523,NULL,1,3516,3516,1,3317
372,NULL,1,3541,3541,1,#N/A
237,NULL,1,3542,3542,2,2296
688,NULL,1,3564,3564,1,2816
550,NULL,1,3573,3573,1,451
373,NULL,1,3587,3587,1,3002
374,NULL,1,3588,3588,1,3001
524,NULL,1,3600,3600,1,2664
34,NULL,1,3603,3603,2,2560
35,NULL,1,3604,3604,2,2650
689,NULL,1,3634,3634,1,3102
468,NULL,1,3645,3645,1,2414
53,NULL,1,3646,3646,1,2652
25,NULL,1,3663,3663,1,1256
690,NULL,1,3674,3674,1,1852
54,NULL,1,3707,3707,2,3152
55,NULL,1,3708,3708,2,3002
737,NULL,1,3738,3738,1,2498
56,NULL,1,3773,3773,1,1713
520,NULL,1,3802,3802,1,825
238,NULL,1,3804,3804,2,1880
57,NULL,1,3805,3805,1,2077
58,NULL,1,3806,3806,2,2960
738,NULL,1,3808,3808,1,2860
606,NULL,1,3836,3836,1,2392
239,NULL,1,3840,3840,2,#N/A
472,NULL,1,3841,3841,1,1658
89,NULL,1,3842,3842,2,#N/A
26,NULL,1,3855,3855,1,3191
27,NULL,1,3856,3856,1,3440
691,NULL,1,3874,3874,1,2434
607,NULL,1,3906,3906,1,2879
774,NULL,1,6003,6003,1,2494
758,NULL,1,6061,6061,1,2112
