zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
1,NULL,NULL,1,NULL,NULL,1,北京      ,NULL,NULL,NULL,0,NULL,10001,BJP,京,NULL
2,NULL,NULL,1,NULL,NULL,1,亦庄      ,NULL,NULL,NULL,0,NULL,10004,YUP,亦,NULL
3,NULL,NULL,1,NULL,NULL,1,武清      ,NULL,NULL,NULL,0,NULL,10007,WWP,武,NULL
4,NULL,NULL,1,NULL,NULL,1,南仓所    ,NULL,NULL,NULL,0,NULL,10008,NVP,南,NULL
5,NULL,NULL,1,NULL,NULL,1,北京南    ,NULL,NULL,NULL,0,NULL,10010,VNP,京,NULL
6,NULL,NULL,1,NULL,NULL,1,丰台      ,NULL,NULL,NULL,0,NULL,10025,FTP,丰,NULL
7,NULL,NULL,1,NULL,NULL,1,黄土坡    ,NULL,NULL,NULL,0,NULL,10034,HTP,黄,NULL
8,NULL,NULL,1,NULL,NULL,1,黄村      ,NULL,NULL,NULL,0,NULL,10037,HCP,黄,NULL
9,NULL,NULL,1,NULL,NULL,1,魏善庄    ,NULL,NULL,NULL,0,NULL,10064,WSP,魏,NULL
10,NULL,NULL,1,NULL,NULL,1,安定      ,NULL,NULL,NULL,0,NULL,10067,ADP,安,NULL
11,NULL,NULL,1,NULL,NULL,1,万庄      ,NULL,NULL,NULL,0,NULL,10070,WZP,万,NULL
12,NULL,NULL,1,NULL,NULL,1,廊坊北    ,NULL,NULL,NULL,0,NULL,10073,LFP,廊,NULL
13,NULL,NULL,1,NULL,NULL,1,落垡      ,NULL,NULL,NULL,0,NULL,10076,LOP,落,NULL
14,NULL,NULL,1,NULL,NULL,1,豆张庄    ,NULL,NULL,NULL,0,NULL,10079,RZP,豆,NULL
15,NULL,NULL,1,NULL,NULL,1,杨村      ,NULL,NULL,NULL,0,NULL,10082,YBP,杨,NULL
16,NULL,NULL,1,NULL,NULL,1,汉沟镇    ,NULL,NULL,NULL,0,NULL,10091,HZP,汉,NULL
17,NULL,NULL,1,NULL,NULL,1,北仓      ,NULL,NULL,NULL,0,NULL,10094,BCP,北,NULL
