yyxlbm,zdid,,xlzdid,Q_zdid,yqzdjjl,H_zdid,sfqszd,sfzdzd,,,,ysjl,xldm,sfytk
运营线路编码,站点id,,线路站点id,上一站id,运营线路站间距离 ,下一站id,是否起始站点,是否终点站点,,,,运输距离,线路代码,是否要停靠
1,1640,,1,1640,0,1639,0,0,NULL,NULL,NULL,669,3100,1
1,1639,,2,1640,38,1638,0,0,NULL,NULL,NULL,631,3100,0
1,1638,,3,1639,23,1637,0,0,NULL,NULL,NULL,608,3100,1
1,1637,,4,1638,24,1636,0,0,NULL,NULL,NULL,584,3100,0
1,1636,,5,1637,30,1635,0,0,NULL,NULL,NULL,554,3100,1
1,1635,,6,1636,42,1634,0,0,NULL,NULL,NULL,512,3100,1
1,1634,,7,1635,57,1633,0,0,NULL,NULL,NULL,455,3100,0
1,1633,,8,1634,40,2790,0,0,NULL,NULL,NULL,415,3100,0
1,2790,,9,1633,44,1632,0,0,NULL,NULL,NULL,371,3100,0
1,1632,,10,2790,16,1631,0,0,NULL,NULL,NULL,355,3100,0
1,1631,,11,1632,5,1630,0,0,NULL,NULL,NULL,350,3100,1
1,1630,,12,1631,9,1629,0,0,NULL,NULL,NULL,341,3100,0
1,1629,,13,1630,18,1628,0,0,NULL,NULL,NULL,323,3100,0
1,1628,,14,1629,21,1627,0,0,NULL,NULL,NULL,302,3100,0
1,1627,,15,1628,19,1626,0,0,NULL,NULL,NULL,283,3100,0
1,1626,,16,1627,12,1625,0,0,NULL,NULL,NULL,271,3100,0
1,1625,,17,1626,12,1624,0,0,NULL,NULL,NULL,259,3100,0
1,1624,,18,1625,12,1623,0,0,NULL,NULL,NULL,247,3100,0
1,1623,,19,1624,10,1622,0,0,NULL,NULL,NULL,237,3100,0
1,1622,,20,1623,22,1621,0,0,NULL,NULL,NULL,215,3100,1
1,1621,,21,1622,7,1620,0,0,NULL,NULL,NULL,208,3100,0
1,1620,,22,1621,9,1619,0,0,NULL,NULL,NULL,199,3100,0
1,1619,,23,1620,9,1618,0,0,NULL,NULL,NULL,190,3100,0
1,1618,,24,1619,8,1617,0,0,NULL,NULL,NULL,182,3100,0
1,1617,,25,1618,8,1616,0,0,NULL,NULL,NULL,174,3100,0
1,1616,,26,1617,23,1615,0,0,NULL,NULL,NULL,151,3100,0
1,1615,,27,1616,16,1614,0,0,NULL,NULL,NULL,135,3100,0
1,1614,,28,1615,10,1613,0,0,NULL,NULL,NULL,125,3100,0
1,1613,,29,1614,5,1612,0,0,NULL,NULL,NULL,120,3100,0
1,1612,,30,1613,12,1611,0,0,NULL,NULL,NULL,108,3100,0
1,1611,,31,1612,17,1610,0,0,NULL,NULL,NULL,91,3100,0
1,1610,,32,1611,24,1609,0,0,NULL,NULL,NULL,67,3100,0
1,1609,,33,1610,22,1305,0,0,NULL,NULL,NULL,45,3100,0
1,1305,,34,1609,45,1304,0,0,NULL,NULL,NULL,1243,5400,1
1,1304,,35,1305,10,1303,0,0,NULL,NULL,NULL,1233,5400,0
1,1303,,36,1304,10,1302,0,0,NULL,NULL,NULL,1223,5400,0
1,1302,,37,1303,23,1301,0,0,NULL,NULL,NULL,1200,5400,0
1,1301,,38,1302,45,1300,0,0,NULL,NULL,NULL,1155,5400,0
1,1300,,39,1301,12,1299,0,0,NULL,NULL,NULL,1143,5400,0
1,1299,,40,1300,27,1298,0,0,NULL,NULL,NULL,1116,5400,0
1,1298,,41,1299,23,1297,0,0,NULL,NULL,NULL,1093,5400,0
1,1297,,42,1298,23,1296,0,0,NULL,NULL,NULL,1070,5400,1
1,1296,,43,1297,4,1295,0,0,NULL,NULL,NULL,1066,5400,0
1,1295,,44,1296,13,1294,0,0,NULL,NULL,NULL,1053,5400,0
1,1294,,45,1295,10,1293,0,0,NULL,NULL,NULL,1043,5400,0
1,1293,,46,1294,8,1332,0,0,NULL,NULL,NULL,864,2950,0
1,1332,,47,1293,8,756,0,0,NULL,NULL,NULL,856,2950,0
1,756,,48,1332,33,1333,0,0,NULL,NULL,NULL,823,2950,0
1,1333,,49,756,32,1334,0,0,NULL,NULL,NULL,791,2950,0
1,1334,,50,1333,39,1335,0,0,NULL,NULL,NULL,752,2950,0
1,1335,,51,1334,86,1336,0,0,NULL,NULL,NULL,666,2950,0
1,1336,,52,1335,23,1337,0,0,NULL,NULL,NULL,643,2950,0
1,1337,,53,1336,30,1338,0,0,NULL,NULL,NULL,613,2950,0
1,1338,,54,1337,40,1339,0,0,NULL,NULL,NULL,573,2950,1
1,1339,,55,1338,84,1340,0,0,NULL,NULL,NULL,489,2950,0
1,1340,,56,1339,24,1341,0,0,NULL,NULL,NULL,465,2950,0
1,1341,,57,1340,59,2543,0,0,NULL,NULL,NULL,262,650,0
1,2543,,58,1341,22,2542,0,0,NULL,NULL,NULL,240,650,0
1,2542,,59,2543,16,2541,0,0,NULL,NULL,NULL,224,650,0
1,2541,,60,2542,26,2540,0,0,NULL,NULL,NULL,198,650,0
1,2540,,61,2541,25,2539,0,0,NULL,NULL,NULL,173,650,1
1,2539,,62,2540,82,2538,0,0,NULL,NULL,NULL,91,650,0
1,2538,,63,2539,17,2537,0,0,NULL,NULL,NULL,74,650,0
1,2537,,64,2538,14,2536,0,0,NULL,NULL,NULL,60,650,0
1,2536,,65,2537,11,681,0,0,NULL,NULL,NULL,49,650,0
1,681,,66,2536,49,678,0,0,NULL,NULL,NULL,232,203,0
1,678,,67,681,8,679,0,0,NULL,NULL,NULL,224,203,1
1,679,,68,678,3,671,0,0,NULL,NULL,NULL,221,203,0
1,671,,69,679,118,404,0,0,NULL,NULL,NULL,103,203,1
